Transaction ID,Customer ID,Account Balance,Reported Amount,Transaction Amount,Currency,Country,Transaction Date,Merchant ID,Payment Method
TXN1001,CUST001,5000,100,100,USD,US,2024-03-20,M001,Credit Card
TXN1002,CUST002,2000,50,50,EUR,DE,2024-02-15,M002,Wire Transfer
TXN1003,CUST003,-500,200,200,USD,US,2024-01-10,M003,Debit Card
TXN1005,CUST005,15000,10000,11000,USD,US,2024-02-28,M005,Cash
TXN1006,CUST006,7000,0,0,USD,US,2024-03-12,M006,Credit Card
TXN1007,CUST007,9000,500,500,XYZ,US,2024-02-22,M007,Wire Transfer
TXN1008,CUST008,4000,200,200,USD,XX,2024-01-30,M008,Credit Card
TXN1009,,5000,300,300,USD,US,2024-03-18,M009,Wire Transfer
TXN1010,CUST010,6000,700,700,USD,US,2025-04-10,M010,Credit Card
TXN1011,CUST011,2500,100,100,USD,US,2024-03-10,M011,Credit Card
TXN1012,CUST012,5000,200,200,EUR,FR,2024-02-20,M012,Wire Transfer
TXN1013,CUST013,12000,500,500,USD,US,2024-03-02,M013,Cash
TXN1014,CUST014,3500,50,50,GBP,UK,2023-12-12,M014,Debit Card
TXN1015,CUST015,4000,600,600,USD,US,2024-03-01,M015,Credit Card
TXN1016,CUST016,7500,250,250,USD,US,2023-02-28,M016,Wire Transfer
TXN1017,CUST017,3000,800,800,USD,US,2022-01-10,M017,Credit Card
TXN1018,CUST018,4500,400,400,USD,US,2024-03-05,,Credit Card
TXN1019,CUST019,1000,50,50,USD,US,2024-02-17,M019,Wire Transfer
TXN1020,CUST020,5500,700,700,USD,US,2024-03-08,M020,Debit Card
