Transaction ID,Customer ID,Account Balance,Reported Amount,Transaction Amount,Currency,Country,Transaction Date,Merchant ID,Payment Method,Validation Status,Anomaly Reason,Remediation
TXN1001,CUST001,5000,100,100,USD,US,2024-03-20,M001,Credit Card,Valid,,
TXN1002,CUST002,2000,50,50,EUR,DE,2024-02-15,M002,Wire Transfer,Valid,,
TXN1003,CUST003,-500,200,200,USD,US,2024-01-10,M003,Debit Card,Anomaly,"Must not be negative except for overdraft accounts explicitly marked with an ""OD"" flag; ","Check if this customer has an overdraft account flagged as ""OD"". If not, correct the balance or flag the account appropriately.; "
TXN1005,CUST005,15000,10000,11000,USD,US,2024-02-28,M005,Cash,Anomaly,Transaction Amount (11000) exceeds Reported Amount (10000) by more than 1%.; Cross-border transactions via cash should require additional verification; ,"Investigate the discrepancy between the reported and transaction amounts.  If not a cross-currency conversion, correct the higher value. If a cross-currency conversion, verify the exchange rate used.; Add additional verification for cash transactions.; "
TXN1006,CUST006,7000,0,0,USD,US,2024-03-12,M006,Credit Card,Anomaly,Reported Amount must be greater than zero.; Transaction Amount must match Reported Amount.; ,Correct the 'Reported Amount' to a value greater than zero.; Correct the 'Transaction Amount' to match the 'Reported Amount' value.; 
TXN1007,CUST007,9000,500,500,XYZ,US,2024-02-22,M007,Wire Transfer,Anomaly,Currency 'XYZ' is not a valid ISO 4217 currency code.; ,Replace 'XYZ' with a valid ISO 4217 currency code.; 
TXN1008,CUST008,4000,200,200,USD,XX,2024-01-30,M008,Credit Card,Anomaly,Must be a valid ISO 3166-1 alpha-2 country code; ,Replace 'XX' with a valid ISO 3166-1 alpha-2 country code.; 
TXN1009,,5000,300,300,USD,US,2024-03-18,M009,Wire Transfer,Anomaly,Customer ID cannot be null.; ,Replace 'nan' with a valid alphanumeric Customer ID.; 
TXN1010,CUST010,6000,700,700,USD,US,2025-04-10,M010,Credit Card,Anomaly,Must not be in the future; ,Correct the transaction date to a past date.; 
TXN1011,CUST011,2500,100,100,USD,US,2024-03-10,M011,Credit Card,Valid,,
TXN1012,CUST012,5000,200,200,EUR,FR,2024-02-20,M012,Wire Transfer,Valid,,
TXN1013,CUST013,12000,500,500,USD,US,2024-03-02,M013,Cash,Anomaly,Cross-border transactions via cash should require additional verification; ,Perform additional verification for cash transactions.; 
TXN1014,CUST014,3500,50,50,GBP,UK,2023-12-12,M014,Debit Card,Valid,,
TXN1015,CUST015,4000,600,600,USD,US,2024-03-01,M015,Credit Card,Valid,,
TXN1016,CUST016,7500,250,250,USD,US,2023-02-28,M016,Wire Transfer,Valid,,
TXN1017,CUST017,3000,800,800,USD,US,2022-01-10,M017,Credit Card,Anomaly,Transactions older than 365 days should trigger a data validation alert; ,Review transaction and add remarks if necessary.  Potentially escalate for further investigation.; 
TXN1018,CUST018,4500,400,400,USD,US,2024-03-05,,Credit Card,Anomaly,"Value is 'nan', which is not alphanumeric.; ",Replace 'nan' with a valid alphanumeric Merchant ID.; 
TXN1019,CUST019,1000,50,50,USD,US,2024-02-17,M019,Wire Transfer,Valid,,
TXN1020,CUST020,5500,700,700,USD,US,2024-03-08,M020,Debit Card,Valid,,
